,Draft_Yr,Pk,Team,Player,College,Yrs,Games,Minutes Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes per Game,Points per Game,TRB per game,Assits per Game,Win Share,WS_per_game,BPM,VORP
230,1977,58.0,DET,John Irving,Hofstra University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,1977,59.0,SAS,Dan Henderson,Arkansas State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,1977,60.0,GSW,Marlon Redmond,University of San Francisco,2.0,77.0,1057.0,499.0,161.0,77.0,0.423,0.0,0.655,13.7,6.5,2.1,1.0,0.6,0.026,-3.8,-0.5
233,1977,61.0,WSB,Jerry Schellenberg,Wake Forest University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,1977,62.0,HOU,Phil Bond,University of Louisville,1.0,7.0,21.0,4.0,4.0,2.0,0.333,0.0,0.0,3.0,0.6,0.6,0.3,0.0,-0.092,-6.4,0.0
235,1977,63.0,POR,Ricky Brown,University of Alabama,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,1977,64.0,PHI,Arnold Dugger,Oral Roberts University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,1977,65.0,DEN,Robert Smith,"University of Nevada, Las Vegas",7.0,229.0,3118.0,1135.0,288.0,401.0,0.435,0.238,0.877,13.6,5.0,1.3,1.8,5.6,0.086,-3.2,-1.0
238,1977,66.0,PHO,Mike Bratz,Stanford University,9.0,586.0,10613.0,4081.0,1030.0,1851.0,0.407,0.305,0.83,18.1,7.0,1.8,3.2,11.1,0.05,-2.4,-1.1
239,1977,67.0,NJN,Bob Elmore,Wichita State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,1977,68.0,BUF,Melvin Watkins,University of North Carolina at Charlotte,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,1977,69.0,MIL,Lewis Brown,"University of Nevada, Las Vegas",1.0,2.0,5.0,2.0,2.0,0.0,0.0,0.0,0.4,2.5,1.0,1.0,0.0,-0.1,-0.667,-38.4,0.0
242,1977,70.0,ATL,Dave Bormann,Gardner-Webb University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
