,Draft_Yr,Pk,Team,Player,College,Yrs,Games,Minutes Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes per Game,Points per Game,TRB per game,Assits per Game,Win Share,WS_per_game,BPM,VORP
31,1976,32.0,CLE,Mo Howard,University of Maryland,1.0,32.0,345.0,152.0,39.0,42.0,0.485,0.0,0.686,10.8,4.8,1.2,1.3,0.6,0.084,-0.5,0.1
32,1976,33.0,PHO,Butch Feher,Vanderbilt University,1.0,48.0,487.0,248.0,74.0,36.0,0.531,0.0,0.768,10.1,5.2,1.5,0.8,1.5,0.145,-1.8,0.0
33,1976,34.0,GSW,Marshall Rogers,University of Texas-Pan American,1.0,26.0,176.0,100.0,11.0,10.0,0.371,0.0,0.933,6.8,3.8,0.4,0.4,-0.2,-0.043,-9.9,-0.4
34,1976,35.0,CHI,Dallas Smith,West Texas A&M University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1976,36.0,LAL,Mike Dabney,Rutgers University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,1976,37.0,CHI,Lars Hansen,University of Washington,1.0,15.0,205.0,76.0,59.0,14.0,0.509,0.0,0.581,13.7,5.1,3.9,0.9,0.6,0.149,-1.1,0.0
37,1976,38.0,DET,Phil Sellers,Rutgers University,1.0,44.0,329.0,198.0,41.0,25.0,0.384,0.0,0.722,7.5,4.5,0.9,0.6,0.0,-0.007,-5.0,-0.2
38,1976,39.0,POR,Jeff Tyson,Western Michigan University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,1976,40.0,MIL,Lloyd Walton,Marquette University,5.0,341.0,5387.0,1442.0,370.0,1243.0,0.454,0.25,0.711,15.8,4.2,1.1,3.6,5.2,0.047,-4.4,-3.3
40,1976,41.0,NYK,John McGill,Alcorn State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,1976,42.0,NOJ,Steve Copp,San Diego State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,1976,43.0,LAL,Tom Abernethy,Indiana University,5.0,319.0,5434.0,1779.0,1011.0,384.0,0.492,0.0,0.747,17.0,5.6,3.2,1.2,13.4,0.118,-0.2,2.5
43,1976,44.0,HOU,Barnes Hauptfuhrer,Princeton University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,1976,45.0,PHO,Ira Terrell,Southern Methodist University,2.0,127.0,2483.0,886.0,533.0,144.0,0.498,0.0,0.638,19.6,7.0,4.2,1.1,4.1,0.08,-2.1,-0.1
45,1976,46.0,ATL,Larry Cooke,Virginia Polytechnic Institute and State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,1976,47.0,PHI,Ron Norwood,DePaul University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,1976,48.0,BUF,Gary Brewster,University of Texas at El Paso,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,1976,49.0,WSB,Bill Cook,University of Memphis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,1976,50.0,CLE,Gary Cole,University of Wisconsin-Parkside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,1976,51.0,BOS,Jerry Fort,University of Nebraska,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,1976,52.0,CHI,Keith Starr,University of Pittsburgh,1.0,17.0,65.0,14.0,10.0,6.0,0.25,0.0,1.0,3.8,0.8,0.6,0.4,-0.2,-0.111,-9.8,-0.1
