,Player,All_NBA,All-Star,Draft_Yr,Pk,Team,College,Yrs,Games,Minutes Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes per Game,Points per Game,TRB per game,Assits per Game,Win Share,WS_per_game,BPM,VORP,Executive,Tenure
148,Joe Schoen,0.0,0.0,1981.0,163.0,DET,Saint Francis University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jack McCloskey,4556 days 00:00:00.000000000
149,Eddie Baker,0.0,0.0,1981.0,185.0,DET,Alcorn State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jack McCloskey,4556 days 00:00:00.000000000
150,Melvin Maxwell,0.0,0.0,1981.0,205.0,DET,Western Michigan University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jack McCloskey,4556 days 00:00:00.000000000
151,Sidney Moncrief,5.0,5.0,1979.0,5.0,MIL,University of Arkansas,11.0,767.0,23150.0,11931.0,3575.0,2793.0,0.502,0.284,0.831,30.2,15.6,4.7,3.6,90.3,0.187,3.8,33.9,Don Nelson,3694 days 00:00:00.000000000
152,Edgar Jones,0.0,0.0,1979.0,31.0,MIL,"University of Nevada, Reno",6.0,363.0,6960.0,3257.0,1745.0,331.0,0.506,0.262,0.71,19.2,9.0,4.8,0.9,15.0,0.103,-0.4,2.7,Don Nelson,3694 days 00:00:00.000000000
153,Larry Gibson,0.0,0.0,1979.0,52.0,MIL,University of Maryland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Don Nelson,3694 days 00:00:00.000000000
154,Eugene Robinson,0.0,0.0,1979.0,69.0,MIL,University of Louisiana at Monroe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Don Nelson,3694 days 00:00:00.000000000
155,Jim Tillman,0.0,0.0,1979.0,97.0,MIL,Eastern Kentucky University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Don Nelson,3694 days 00:00:00.000000000
156,Derrick Mayes,0.0,0.0,1979.0,116.0,MIL,Illinois State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Don Nelson,3694 days 00:00:00.000000000
157,Stan Ray,0.0,0.0,1979.0,138.0,MIL,"California State University, Fullerton",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Don Nelson,3694 days 00:00:00.000000000
158,Larry Spicer,0.0,0.0,1979.0,156.0,MIL,University of Alabama at Birmingham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Don Nelson,3694 days 00:00:00.000000000
159,Roger Lapham,0.0,0.0,1979.0,174.0,MIL,University of Maine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Don Nelson,3694 days 00:00:00.000000000
160,Chris Fahrbach,0.0,0.0,1979.0,193.0,MIL,University of North Dakota,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Don Nelson,3694 days 00:00:00.000000000
161,Yao Ming,5.0,8.0,2002.0,1.0,HOU,0,8.0,486.0,15818.0,9247.0,4494.0,769.0,0.524,0.2,0.833,32.5,19.0,9.2,1.6,65.9,0.2,2.3,17.0,Carroll Dawson,3901 days 00:00:00.000000000
162,Bostjan Nachbar,0.0,0.0,2002.0,15.0,HOU,0,6.0,317.0,5628.0,2252.0,836.0,283.0,0.406,0.375,0.784,17.8,7.1,2.6,0.9,8.7,0.074,-2.3,-0.4,Carroll Dawson,3901 days 00:00:00.000000000
163,Tito Maddox,0.0,0.0,2002.0,37.0,HOU,"California State University, Fresno",1.0,9.0,35.0,11.0,7.0,5.0,0.25,0.0,0.625,3.9,1.2,0.8,0.6,0.0,-0.011,-2.2,0.0,Carroll Dawson,3901 days 00:00:00.000000000
164,Clyde Drexler,5.0,10.0,1983.0,14.0,POR,University of Houston,15.0,1086.0,37537.0,22195.0,6677.0,6125.0,0.472,0.318,0.788,34.6,20.4,6.1,5.6,135.6,0.173,6.0,75.6,Stu Inman,1690 days 00:00:00.000000000
165,Granville Waiters,0.0,0.0,1983.0,39.0,POR,Ohio State University,5.0,249.0,2547.0,606.0,540.0,121.0,0.458,0.0,0.559,10.2,2.4,2.2,0.5,1.9,0.036,-3.0,-0.6,Stu Inman,1690 days 00:00:00.000000000
166,Tom Piotrowski,0.0,0.0,1983.0,62.0,POR,La Salle University,1.0,18.0,78.0,30.0,16.0,5.0,0.462,0.0,1.0,4.3,1.7,0.9,0.3,0.1,0.07,-4.0,0.0,Stu Inman,1690 days 00:00:00.000000000
167,Tim Dunham,0.0,0.0,1983.0,85.0,POR,Chaminade University of Honolulu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stu Inman,1690 days 00:00:00.000000000
168,Gary Monroe,0.0,0.0,1983.0,108.0,POR,Wright State University,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stu Inman,1690 days 00:00:00.000000000
169,Derrick Pope,0.0,0.0,1983.0,131.0,POR,University of Montana,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stu Inman,1690 days 00:00:00.000000000
170,Paul Little,0.0,0.0,1983.0,154.0,POR,University of Pennsylvania,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stu Inman,1690 days 00:00:00.000000000
171,Frank Smith,0.0,0.0,1983.0,177.0,POR,University of Arizona,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Stu Inman,1690 days 00:00:00.000000000
