,Player,All_NBA,All-Star,Draft_Yr,Pk,Team,College,Yrs,Games,Minutes Played,PTS,TRB,AST,FG_Percentage,TP_Percentage,FT_Percentage,Minutes per Game,Points per Game,TRB per game,Assits per Game,Win Share,WS_per_game,BPM,VORP,Executive,Tenure,attend_college,Exec_id,Exec_draft_exp
199,Chris Mullin,4,5,1985,7,GSW,St. John's University,16,986,32163,17911,4034,3450,0.509,0.384,0.865,32.6,18.2,4.1,3.5,93.1,0.139,2.8,38.7,Al Attles,3641 days 00:00:00.000000000,1,33,1
201,Brad Wright,0,0,1985,49,GSW,"University of California, Los Angeles",2,16,145,54,54,1,0.412,0,0.429,9.1,3.4,3.4,0.1,-0.1,-0.045,-10.3,-0.3,Al Attles,3641 days 00:00:00.000000000,1,33,1
202,Luster Goodwin,0,0,1985,71,GSW,University of Texas at El Paso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,1
203,Greg Cavener,0,0,1985,95,GSW,University of Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,1
204,Gerald Crosby,0,0,1985,117,GSW,University of Georgia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,1
205,Eric Boyd,0,0,1985,141,GSW,North Carolina Agricultural and Technical State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,1
331,Robert Parish,2,9,1976,8,GSW,Centenary College of Louisiana,21,1611,45704,23334,14715,2180,0.537,0,0.721,28.4,14.5,9.1,1.4,147,0.154,1.6,41.5,Al Attles,3641 days 00:00:00.000000000,1,33,2
332,Sonny Parker,0,0,1976,17,GSW,Texas A&M University,6,452,10916,4471,1841,954,0.501,0,0.755,24.2,9.9,4.1,2.1,26.9,0.118,2.2,11.5,Al Attles,3641 days 00:00:00.000000000,1,33,2
333,Marshall Rogers,0,0,1976,34,GSW,University of Texas-Pan American,1,26,176,100,11,10,0.371,0,0.933,6.8,3.8,0.4,0.4,-0.2,-0.043,-9.9,-0.4,Al Attles,3641 days 00:00:00.000000000,1,33,2
334,Jeff Fosnes,0,0,1976,68,GSW,Vanderbilt University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
335,Carl Bird,0,0,1976,86,GSW,University of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
336,Duane Barnett,0,0,1976,91,GSW,Stanford University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
337,Gene Cunningham,0,0,1976,104,GSW,Norfolk State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
338,Jesse Campbell,0,0,1976,122,GSW,Mercyhurst College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
339,Stan Boskovich,0,0,1976,140,GSW,West Virginia University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
340,Howard Smith,0,0,1976,157,GSW,University of San Francisco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
341,Ken Smith,0,0,1976,173,GSW,San Diego State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,2
854,Rickey Green,0,0,1977,16,GSW,University of Michigan,14,946,23271,8870,1819,5221,0.469,0.207,0.807,24.6,9.4,1.9,5.5,47.2,0.097,-1,5.8,Al Attles,3641 days 00:00:00.000000000,1,33,3
855,Wesley Cox,0,0,1977,18,GSW,University of Louisville,2,74,813,342,206,23,0.412,0,0.51,11,4.6,2.8,0.3,0.1,0.007,-6.9,-1,Al Attles,3641 days 00:00:00.000000000,1,33,3
856,Ricky Love,0,0,1977,38,GSW,University of Alabama at Huntsville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,3
857,Marlon Redmond,0,0,1977,60,GSW,University of San Francisco,2,77,1057,499,161,77,0.423,0,0.655,13.7,6.5,2.1,1,0.6,0.026,-3.8,-0.5,Al Attles,3641 days 00:00:00.000000000,1,33,3
858,Roy Smith,0,0,1977,82,GSW,Kentucky State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,3
859,Leartha Scott,0,0,1977,87,GSW,University of Wisconsin-Parkside,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,3
860,Ray Epps,0,0,1977,104,GSW,Norfolk State University,1,13,72,26,5,2,0.435,0,0.75,5.5,2,0.4,0.2,0.1,0.057,-6.9,-0.1,Al Attles,3641 days 00:00:00.000000000,1,33,3
861,Jack Phelan,0,0,1977,126,GSW,Saint Francis University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,3
862,Jerry Thurston,0,0,1977,146,GSW,Mercer University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,3
863,Ricky Marsh,0,0,1977,165,GSW,Manhattan College,1,60,851,269,75,90,0.426,0,0.697,14.2,4.5,1.3,1.5,0.5,0.028,-4.3,-0.5,Al Attles,3641 days 00:00:00.000000000,1,33,3
988,Purvis Short,0,0,1978,5,GSW,Jackson State University,12,842,24549,14607,3625,2123,0.474,0.282,0.824,29.2,17.3,4.3,2.5,51.1,0.1,-0.1,11.6,Al Attles,3641 days 00:00:00.000000000,1,33,4
989,Raymond Townsend,0,0,1978,22,GSW,"University of California, Los Angeles",3,154,2025,745,157,217,0.411,0.171,0.703,13.1,4.8,1,1.4,1,0.023,-4.6,-1.3,Al Attles,3641 days 00:00:00.000000000,1,33,4
990,Wayne Cooper,0,0,1978,40,GSW,University of New Orleans,14,984,20274,7777,6095,852,0.457,0.146,0.736,20.6,7.9,6.2,0.9,36.9,0.087,-1.7,1.4,Al Attles,3641 days 00:00:00.000000000,1,33,4
991,Steve Neff,0,0,1978,56,GSW,Southern Nazarene University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,4
992,Derrick Jackson,0,0,1978,77,GSW,Georgetown University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,4
993,Bubba Wilson,0,0,1978,101,GSW,Western Carolina University,1,16,143,17,16,12,0.28,0,0.5,8.9,1.1,1,0.8,-0.2,-0.064,-7.5,-0.2,Al Attles,3641 days 00:00:00.000000000,1,33,4
994,Buzz Hartnett,0,0,1978,122,GSW,University of San Diego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,4
995,Rick Bernard,0,0,1978,142,GSW,Saint Mary's College of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,4
996,Tony Searcy,0,0,1978,163,GSW,Appalachian State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,4
997,Bobby Humbles,0,0,1978,179,GSW,Bradley University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,4
998,Mike Muff,0,0,1978,193,GSW,Murray State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,4
1265,Danny Salisbury,0,0,1979,28,GSW,University of Texas-Pan American,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,5
1266,Cheese Johnson,0,0,1979,54,GSW,Wichita State University,1,9,53,27,14,2,0.4,0,0.6,5.9,3,1.6,0.2,0,-0.033,-9.7,-0.1,Al Attles,3641 days 00:00:00.000000000,1,33,5
1267,Ron Ripley,0,0,1979,75,GSW,University of Wisconsin-Green Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,5
1268,Jerry Sichting,0,0,1979,82,GSW,Purdue University,10,598,12732,4141,817,1962,0.507,0.271,0.857,21.3,6.9,1.4,3.3,21.2,0.08,-2.7,-2.2,Al Attles,3641 days 00:00:00.000000000,1,33,5
1269,George Lett,0,0,1979,96,GSW,Centenary College of Louisiana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,5
1270,Jim Mitchem,0,0,1979,118,GSW,DePaul University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,5
1271,Ren Watson,0,0,1979,137,GSW,Virginia Commonwealth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,5
1272,Mario Butler,0,0,1979,155,GSW,Briar Cliff University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,5
1273,Gene Ransom,0,0,1979,175,GSW,University of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,5
1274,Kevin Heenan,0,0,1979,192,GSW,"California State University, Fullerton",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,5
1302,Joe Barry Carroll,0,0,1980,1,GSW,Purdue University,10,705,22838,12455,5404,1264,0.474,0,0.747,32.4,17.7,7.7,1.8,35.6,0.075,-0.7,7.5,Al Attles,3641 days 00:00:00.000000000,1,33,6
1303,Rickey Brown,0,0,1980,13,GSW,Mississippi State University,5,340,4487,1482,1200,119,0.464,0,0.667,13.2,4.4,3.5,0.4,4.7,0.051,-4.4,-2.7,Al Attles,3641 days 00:00:00.000000000,1,33,6
1304,Larry Smith,0,0,1980,24,GSW,Alcorn State University,13,883,22879,5904,8125,941,0.531,0,0.531,25.9,6.7,9.2,1.1,46,0.096,0.6,15,Al Attles,3641 days 00:00:00.000000000,1,33,6
1305,Jeff Ruland,0,0,1980,25,GSW,Iona College,8,332,11088,5763,3378,1002,0.564,0.158,0.718,33.4,17.4,10.2,3,34.3,0.149,3.5,15.4,Al Attles,3641 days 00:00:00.000000000,1,33,6
1306,John Virgil,0,0,1980,49,GSW,University of North Carolina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,6
1307,Robert Scott,0,0,1980,71,GSW,University of Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,6
1308,Don Carlino,0,0,1980,95,GSW,University of Southern California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,6
1309,Neil Bresnahan,0,0,1980,117,GSW,University of Illinois at Urbana-Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,6
1310,Lorenzo Romar,0,0,1980,141,GSW,University of Washington,5,291,5188,1731,385,1022,0.464,0.211,0.749,17.8,5.9,1.3,3.5,8,0.074,-2.8,-1,Al Attles,3641 days 00:00:00.000000000,1,33,6
1311,Kurt Kanaskie,0,0,1980,162,GSW,La Salle University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,6
1312,Tim Higgins,0,0,1980,200,GSW,University of Nebraska at Kearney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,6
1665,Sam Williams,0,0,1981,33,GSW,Arizona State University,4,257,4528,1628,1146,156,0.5,0,0.653,17.6,6.3,4.5,0.6,9,0.095,-0.1,2.1,Al Attles,3641 days 00:00:00.000000000,1,33,7
1666,Carlton Neverson,0,0,1981,56,GSW,University of Pittsburgh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,7
1667,Lewis Lloyd,0,0,1981,76,GSW,Drake University,7,388,9406,5130,1192,1138,0.524,0.213,0.771,24.2,13.2,3.1,2.9,19.8,0.101,0.3,5.5,Al Attles,3641 days 00:00:00.000000000,1,33,7
1668,Terry Adolph,0,0,1981,80,GSW,West Texas A&M University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,7
1669,Hank McDowell,0,0,1981,102,GSW,University of Memphis,6,206,1857,600,464,98,0.451,0,0.71,9,2.9,2.3,0.5,2,0.052,-3.5,-0.7,Al Attles,3641 days 00:00:00.000000000,1,33,7
1670,Carter Scott,0,0,1981,126,GSW,Ohio State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,7
1671,Robby Dosty,0,0,1981,148,GSW,University of Arizona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,7
1672,Yasutaka Okayama,0,0,1981,171,GSW,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,0,33,7
1673,Doug Murrey,0,0,1981,192,GSW,San Jose State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,7
1674,Barry Brooks,0,0,1981,213,GSW,University of Southern California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,7
1800,Lester Conner,0,0,1982,14,GSW,Oregon State University,12,687,14970,4337,1861,2669,0.453,0.202,0.753,21.8,6.3,2.7,3.9,28.6,0.092,0.8,10.5,Al Attles,3641 days 00:00:00.000000000,1,33,8
1801,Derek Smith,0,0,1982,35,GSW,University of Louisville,9,408,9825,5232,1300,866,0.499,0.294,0.753,24.1,12.8,3.2,2.1,18.3,0.089,-0.7,3.2,Al Attles,3641 days 00:00:00.000000000,1,33,8
1802,Wayne Sappleton,0,0,1982,38,GSW,Loyola University of Chicago,1,33,298,96,75,7,0.471,0,0.412,9,2.9,2.3,0.2,0.1,0.012,-6.8,-0.4,Al Attles,3641 days 00:00:00.000000000,1,33,8
1803,Chris Engler,0,0,1982,60,GSW,University of Wyoming,5,195,1405,343,386,45,0.411,0,0.677,7.2,1.8,2,0.2,0.6,0.02,-5.8,-1.4,Al Attles,3641 days 00:00:00.000000000,1,33,8
1804,Ken Stancell,0,0,1982,83,GSW,Virginia Commonwealth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,8
1805,Albert Irving,0,0,1982,106,GSW,Alcorn State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,8
1806,David Vann,0,0,1982,129,GSW,Saint Mary's College of California,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,8
1807,Matt Waldron,0,0,1982,152,GSW,University of the Pacific,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,8
1808,Mark King,0,0,1982,175,GSW,Florida Southern College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,8
1809,Nick Morken,0,0,1982,198,GSW,University of Tennessee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,8
1810,Randy Whieldon,0,0,1982,219,GSW,"University of California, Irvine",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,8
1915,Russell Cross,0,0,1983,6,GSW,Purdue University,1,45,354,166,82,22,0.571,0,0.418,7.9,3.7,1.8,0.5,0.8,0.106,-1.8,0,Al Attles,3641 days 00:00:00.000000000,1,33,9
1916,Pace Mannion,0,0,1983,43,GSW,University of Utah,6,216,2125,660,259,231,0.413,0.203,0.663,9.8,3.1,1.2,1.1,1.7,0.038,-2.9,-0.5,Al Attles,3641 days 00:00:00.000000000,1,33,9
1917,Mike Holton,0,0,1983,53,GSW,"University of California, Los Angeles",6,325,5836,2016,459,977,0.441,0.257,0.807,18,6.2,1.4,3,4.8,0.039,-3.9,-2.8,Al Attles,3641 days 00:00:00.000000000,1,33,9
1918,Peter Thibeaux,0,0,1983,77,GSW,Saint Mary's College of California,2,93,992,462,144,45,0.453,0.286,0.626,10.7,5,1.5,0.5,0.1,0.005,-5.4,-0.9,Al Attles,3641 days 00:00:00.000000000,1,33,9
1919,Greg Hines,0,0,1983,99,GSW,Hampton University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,9
1920,Tom Heywood,0,0,1983,123,GSW,Weber State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,9
1921,Peter Williams,0,0,1983,145,GSW,University of Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,9
1922,Doug Harris,0,0,1983,169,GSW,Central Washington University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,9
1923,Greg Goorjiam,0,0,1983,190,GSW,Loyola Marymount University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,9
1924,Michael Zeno,0,0,1983,212,GSW,"California State University, Long Beach",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,9
2191,Steve Burtt,0,0,1984,30,GSW,Iona College,4,101,1121,584,92,123,0.426,0.143,0.695,11.1,5.8,0.9,1.2,0,0,-6,-1.1,Al Attles,3641 days 00:00:00.000000000,1,33,10
2192,Jay Murphy,0,0,1984,31,GSW,Boston College,4,67,436,160,111,13,0.332,0,0.607,6.5,2.4,1.7,0.2,-0.5,-0.052,-10.2,-0.9,Al Attles,3641 days 00:00:00.000000000,1,33,10
2193,Othell Wilson,0,0,1984,35,GSW,University of Virginia,2,127,2049,535,212,424,0.454,0.176,0.746,16.1,4.2,1.7,3.3,1.4,0.032,-3,-0.5,Al Attles,3641 days 00:00:00.000000000,1,33,10
2194,Gary Plummer,0,0,1984,45,GSW,Boston University,2,126,1439,531,307,66,0.43,0.143,0.717,11.4,4.2,2.4,0.5,0.2,0.006,-6.1,-1.5,Al Attles,3641 days 00:00:00.000000000,1,33,10
2195,Lewis Jackson,0,0,1984,55,GSW,Alabama State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,10
2196,Steve Bartek,0,0,1984,101,GSW,Doane College,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,10
2197,Scott McCollum,0,0,1984,110,GSW,Pepperdine University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,10
2198,Tony Martin,0,0,1984,123,GSW,University of Wyoming,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,10
2199,Cliff Higgins,0,0,1984,147,GSW,"California State University, Northridge",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,10
2200,Paul Brozovich,0,0,1984,169,GSW,"University of Nevada, Las Vegas",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,10
2201,Mitch Arnold,0,0,1984,192,GSW,"California State University, Fresno",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,10
2202,Tim Bell,0,0,1984,213,GSW,"University of California, Riverside",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,10
2227,Mike Williams,0,0,1986,51,GSW,Bradley University,1,21,102,15,23,2,0.333,0,0.5,4.9,0.7,1.1,0.1,0,0.012,-5.9,-0.1,Al Attles,3641 days 00:00:00.000000000,1,33,11
2228,Bobby Lee Hurt,0,0,1986,121,GSW,University of Alabama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,11
2229,Chris Washburn,0,0,1986,3,GSW,North Carolina State University,2,72,645,222,176,22,0.412,0,0.439,9,3.1,2.4,0.3,-0.6,-0.046,-7.9,-1,Al Attles,3641 days 00:00:00.000000000,1,33,11
2230,Wendell Alexis,0,0,1986,59,GSW,Syracuse University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,11
2231,Dan Bingenheimer,0,0,1986,75,GSW,University of Missouri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,11
2232,Clinton Smith,0,0,1986,97,GSW,Cleveland State University,2,46,386,134,60,49,0.43,0,0.714,8.4,2.9,1.3,1.1,0.3,0.035,-3,-0.1,Al Attles,3641 days 00:00:00.000000000,1,33,11
2233,Steve Kenilvort,0,0,1986,143,GSW,Santa Clara University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Attles,3641 days 00:00:00.000000000,1,33,11
3031,Adonal Foyle,0,0,1997,8,GSW,Colgate University,12,733,13060,2989,3461,344,0.477,0,0.499,17.8,4.1,4.7,0.5,18.7,0.069,-0.8,3.9,Al Attles,37 days 00:00:00.000000000,1,33,12
3032,Marc Jackson,0,0,1997,37,GSW,Temple University,7,387,7572,3238,1655,311,0.446,0.226,0.814,19.6,8.4,4.3,0.8,13,0.082,-3.6,-3.1,Al Attles,37 days 00:00:00.000000000,1,33,12
2634,Rod Strickland,0,0,1988,19,NYK,DePaul University,17,1094,33634,14463,4084,7987,0.454,0.282,0.721,30.7,13.2,3.7,7.3,85.8,0.122,1.6,30.9,Al Bianchi,1332 days 00:00:00.000000000,1,110,13
2635,Greg Butler,0,0,1988,37,NYK,Stanford University,3,55,210,76,53,4,0.354,0,0.714,3.8,1.4,1,0.1,-0.3,-0.078,-12.5,-0.6,Al Bianchi,1332 days 00:00:00.000000000,1,110,13
2636,Phil Stinnie,0,0,1988,69,NYK,Virginia Commonwealth University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Al Bianchi,1332 days 00:00:00.000000000,1,110,13
2698,Brian Quinnett,0,0,1989,50,NYK,Washington State University,3,138,1530,474,224,76,0.414,0.326,0.677,11.1,3.4,1.6,0.6,0.9,0.027,-3.7,-0.7,Al Bianchi,1332 days 00:00:00.000000000,1,110,14
2722,Jerrod Mustaf,0,0,1990,17,NYK,University of Maryland,4,179,1902,721,452,99,0.449,0,0.648,10.6,4,2.5,0.6,1.7,0.043,-4.4,-1.2,Al Bianchi,1332 days 00:00:00.000000000,1,110,15
90,Chris Paul,8,9,2005,4,NOH,Wake Forest University,11,773,27725,14506,3380,7688,0.473,0.365,0.864,35.9,18.8,4.4,9.9,144.1,0.249,7.5,66.4,Allan Bristow,471 days 00:00:00.000000000,1,13,16
91,Brandon Bass,0,0,2005,33,NOH,Louisiana State University,11,706,15833,6283,3319,587,0.496,0.2,0.829,22.4,8.9,4.7,0.8,40.6,0.123,-1.1,3.5,Allan Bristow,471 days 00:00:00.000000000,1,13,16
513,Larry Johnson,1,2,1991,1,NOH,"University of Nevada, Las Vegas",10,707,25685,11450,5300,2298,0.484,0.332,0.766,36.3,16.2,7.5,3.3,69.7,0.13,2.4,28.3,Allan Bristow,456 days 00:00:00.000000000,1,13,17
514,Kevin Lynch,0,0,1991,28,NOH,University of Minnesota,2,95,1143,310,120,108,0.436,0.333,0.726,12,3.3,1.3,1.1,0.4,0.016,-4,-0.6,Allan Bristow,456 days 00:00:00.000000000,1,13,17
2702,Kendall Gill,0,0,1990,5,NOH,University of Illinois at Urbana-Champaign,15,966,29481,12914,4002,2945,0.434,0.3,0.754,30.5,13.4,4.1,3,47.8,0.078,0.3,16.9,Allan Bristow,456 days 00:00:00.000000000,1,13,15
2703,Steve Scheffler,0,0,1990,39,NOH,Purdue University,7,174,918,331,180,26,0.558,0.2,0.759,5.3,1.9,1,0.1,2.9,0.153,-2.1,0,Allan Bristow,456 days 00:00:00.000000000,1,13,15
3026,Tony Battie,0,0,1997,5,DEN,Texas Tech University,14,837,17649,5082,4287,522,0.488,0.162,0.69,21.1,6.1,5.1,0.6,36.4,0.099,-1.6,1.9,Allan Bristow,357 days 00:00:00.000000000,1,13,12
3027,James Cotton,0,0,1997,32,DEN,"California State University, Long Beach",2,19,92,49,16,0,0.359,0,0.778,4.8,2.6,0.8,0,0,0.008,-14.7,-0.3,Allan Bristow,357 days 00:00:00.000000000,1,13,12
3028,Jason Lawson,0,0,1997,41,DEN,Villanova University,1,17,80,26,27,5,0.6,0,0.8,4.7,1.5,1.6,0.3,0.5,0.28,4.8,0.1,Allan Bristow,357 days 00:00:00.000000000,1,13,12
3395,J.R. Smith,0,0,2004,18,NOH,0,12,839,22543,11044,2702,1850,0.423,0.375,0.734,26.9,13.2,3.2,2.2,44.3,0.094,0.5,14.3,Allan Bristow,471 days 00:00:00.000000000,0,13,18
3396,Tim Pickett,0,0,2004,44,NOH,Florida State University,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Allan Bristow,471 days 00:00:00.000000000,1,13,18
242,Dikembe Mutombo,3,8,1991,4,DEN,Georgetown University,18,1196,36791,11729,12359,1240,0.518,0,0.684,30.8,9.8,10.3,1,117,0.153,2.1,38.2,Bernie Bickerstaff,2406 days 00:00:00.000000000,1,39,17
243,Mark Macon,0,0,1991,8,DEN,Temple University,6,251,5018,1685,467,428,0.384,0.27,0.735,20,6.7,1.9,1.7,0.1,0.001,-3.2,-1.5,Bernie Bickerstaff,2406 days 00:00:00.000000000,1,39,17
2799,LaPhonso Ellis,0,0,1992,5,DEN,University of Notre Dame,11,624,17616,7410,4032,981,0.452,0.302,0.73,28.2,11.9,6.5,1.6,32.8,0.089,-0.4,7.1,Bernie Bickerstaff,2406 days 00:00:00.000000000,1,39,19
2800,Bryant Stith,0,0,1992,13,DEN,University of Virginia,10,586,16417,5946,1983,1178,0.424,0.329,0.841,28,10.1,3.4,2,29.5,0.086,-0.6,5.8,Bernie Bickerstaff,2406 days 00:00:00.000000000,1,39,19
2801,Robert Werdann,0,0,1992,46,DEN,St. John's University,3,47,273,101,81,9,0.378,0,0.574,5.8,2.1,1.7,0.2,0.1,0.026,-6,-0.3,Bernie Bickerstaff,2406 days 00:00:00.000000000,1,39,19
2852,Rodney Rogers,0,0,1993,9,DEN,Wake Forest University,12,866,21873,9468,3881,1722,0.451,0.347,0.69,25.3,10.9,4.5,2,38.8,0.085,0.5,13.8,Bernie Bickerstaff,2406 days 00:00:00.000000000,1,39,20
